Unnamed: 0,CCIS27304052ST-3-0,CCIS15794887ST-4-0,CCIS74726977ST-3-0,CCIS16561622ST-4-0,CCIS79210440ST-3-0,CCIS82507866ST-3-0,CCIS98482370ST-3-0,CCIS00281083ST-3-0,CCIS32452666ST-4-0,CCIS94417875ST-3-0,CCIS51667829ST-4-0,CCIS27927933ST-4-0,CCIS45571137ST-3-0,CCIS81139242ST-4-0,CCIS21126322ST-4-0,CCIS17669415ST-4-0,CCIS44676181ST-4-0,CCIS29210128ST-4-0,CCIS48725289ST-4-0,CCIS64785924ST-20-0,CCIS03473770ST-4-0,CCIS10706551ST-3-0,CCIS64773582ST-4-0,CCIS06260551ST-3-0,CCIS40244499ST-3-0,CCIS85214191ST-3-0,CCIS08668806ST-3-0,CCIS50369211ST-20-0,CCIS87167916ST-4-0,CCIS94496512ST-4-0,CCIS58234805ST-4-0,CCIS91228662ST-4-0,CCIS71301801ST-4-0,CCIS24898163ST-4-0,CCIS53355328ST-4-0,CCIS41222843ST-4-0,CCIS81887263ST-4-0,CCIS29688262ST-20-0,CCIS87116798ST-4-0,CCIS87605453ST-4-0,CCIS83870198ST-4-0,CCIS61287323ST-4-0,CCIS11362406ST-4-0,CCIS14449628ST-4-0,CCIS21278152ST-4-0,CCIS25399172ST-4-0,CCIS34055159ST-4-0,CCIS76845094ST-20-0,CCIS41548810ST-4-0,CCIS98512455ST-4-0,CCIS83445808ST-4-0,CCIS37250421ST-4-0,CCIS35092938ST-4-0,CCIS50148151ST-4-0,CCIS62605362ST-3-0,CCIS87252800ST-4-0,CCIS22958137ST-20-0,CCIS48507077ST-4-0,CCIS32105356ST-4-0,CCIS81710917ST-20-0,CCIS16326685ST-4-0,CCIS53043478ST-4-0,CCIS98832363ST-4-0,CCIS02124300ST-4-0,CCIS44743950ST-4-0,CCIS10793554ST-4-0,CCIS59132091ST-4-0,CCIS96387239ST-4-0,CCIS82146115ST-4-0,CCIS31434951ST-20-0,CCIS33816588ST-4-0,CCIS12656533ST-4-0,CCIS41806458ST-4-0,CCIS53557295ST-4-0,CCIS47284573ST-4-0,CCIS76563044ST-4-0,CCIS93040568ST-20-0,CCIS45793747ST-4-0,CCIS95097901ST-4-0,CCIS80834637ST-4-0,CCIS63910149ST-4-0,CCIS84543192ST-4-0,CCIS38765456ST-20-0,CCIS82944710ST-20-0,CCIS55230578ST-4-0,CCIS24254057ST-4-0,CCIS78318719ST-4-0,CCIS44757994ST-4-0,CCIS65479369ST-4-0,CCIS62794166ST-4-0,CCIS77252613ST-4-0,CCIS11015875ST-4-0,CCIS55531770ST-4-0,CCIS70398272ST-4-0,CCIS35100175ST-4-0,CCIS22416007ST-4-0,CCIS41288781ST-4-0,CCIS59903910ST-4-0,CCIS12370844ST-4-0,CCIS72607085ST-4-0,CCIS46047672ST-4-0,CCIS22906510ST-20-0,CCIS52370277ST-4-0,CCIS02379307ST-4-0,CCIS48579360ST-4-0,CCIS46467422ST-4-0,CCIS54027808ST-4-0,CCIS15704761ST-4-0,CCIS11558985ST-4-0,CCIS13047523ST-4-0,CCIS94603952ST-4-0,CCIS02856720ST-4-0,CCIS07648107ST-4-0,CCIS34604008ST-4-0,CCIS63468405ST-4-0,CCIS16383318ST-4-0,CCIS36699628ST-4-0,CCIS95409808ST-4-0,CCIS74239020ST-4-0,CCIS05314658ST-4-0,CCIS71578391ST-4-0,CCIS50003399ST-4-0,CCIS36797902ST-4-0,CCIS11354283ST-4-0,CCIS50471204ST-4-0,CCIS20795251ST-4-0,CCIS07277498ST-4-0,CCIS90164298ST-4-0,CCIS23164343ST-4-0,CCIS03857607ST-4-0,CCIS63448910ST-4-0,CCIS88007743ST-4-0,CCIS51595129ST-4-0,CCIS09568613ST-4-0,CCIS07539127ST-4-0,CCIS41692898ST-4-0,CCIS44093303ST-4-0,CCIS00146684ST-4-0,CCIS78100604ST-4-0,CCIS48174381ST-4-0,CCIS88317640ST-4-0
UNMAPPED,0.589839018573821,0.714215698342397,0.781867353064297,0.611571318417511,0.655659617529272,0.477217097641216,0.71777147872312,0.437982676191875,0.539744298431058,0.850192813636203,0.553078729055175,0.373167907362222,0.728792936547812,0.496137085053349,0.716578208089283,0.671632292395384,0.574961635922418,0.400245926718773,0.613078349685528,0.440421960704403,0.562312020987133,0.680392246243504,0.484981110279196,0.700351580376805,0.373909244786085,0.20426098917934,0.592959160725198,0.416088373466476,0.805980788365198,0.358421416899856,0.382238687504965,0.543776453186827,0.466753961853195,0.409424590534117,0.701908655308625,0.4557093578117,0.656948579604265,0.423468954880962,0.678418939254645,0.342755531142545,0.568328815938937,0.512518588401374,0.582300014195938,0.446076644491675,0.663117901525339,0.809482395496226,0.285283568430946,0.406007519153017,0.646508300723099,0.581659178019724,0.706315381197745,0.529956504424629,0.617604223789992,0.408506214353697,0.701252703092864,0.469264747379022,0.685919156216308,0.372841443044452,0.616662151145611,0.525544371097602,0.549314691873663,0.691048070077011,0.679254798611784,0.531454438097633,0.37309681907193,0.489237834341452,0.565989420083968,0.5082622398983,0.466838973181081,0.608085432371433,0.6960076742812,0.568044013026744,0.451256200841188,0.486750883598276,0.594873069927091,0.634482843818612,0.302672733476781,0.530144483522408,0.480028084660983,0.486255146128255,0.552464839600843,0.54092427056978,0.734104412948146,0.358891903876733,0.650553627087039,0.351313486718151,0.803334715280159,0.552669960663594,0.263451797972101,0.528216342801557,0.711024212869193,0.678425072475711,0.542946687108181,0.687280538854931,0.725830444175289,0.446336148660358,0.427449422688286,0.41213140551916,0.349300091797346,0.221953175162796,0.607693954831815,0.478178266581962,0.340472315159352,0.421810520237289,0.65571063474557,0.207746391266126,0.498310609361183,0.419857891272242,0.563126459885799,0.238009002282363,0.466145365836708,0.415344554313653,0.515642260588257,0.487853253484216,0.441173645003372,0.661978546432866,0.463670773921534,0.675602384558269,0.649168968340637,0.537474644529013,0.705381419535091,0.36801332797526,0.593364936718768,0.515233036126793,0.424820386477402,0.52608268673387,0.494937241390861,0.72506419405775,0.424077127719993,0.776104864136468,0.325661743223291,0.308824744105946,0.641249534985877,0.664499316948036,0.675916008855589,0.417060188020945,0.234499947219125,0.643237985360735,0.332215272696519,0.557014804086188,0.537147729463575
Victivallis vadensis [h:1000],0.0,0.0,4.58155369641756e-06,2.4821468378115e-06,0.0,0.0002321182240401,0.0,0.0,0.0,5.27338826928417e-05,1.48740507381744e-05,0.0,4.33292016746516e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001712289923075,0.0,0.0002616785661013,0.0,0.0,0.0,0.0,0.0,9.68334980361737e-06,0.0,0.0,0.0,0.0,0.0,6.07094190333085e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.79416197217458e-06,7.70550301061989e-06,1.74359809465054e-05,1.22356096994876e-05,0.0,0.0,1.97146007847383e-05,0.0003828233604284,0.0,0.0,4.14336682912546e-06,0.0,2.62643237541441e-05,0.0,5.00468553631605e-05,0.0,0.0001206819852058,0.0,1.60269463113799e-05,0.0013935265131547,0.0001329662837419,0.0,0.0,0.0,0.0,0.0,0.0,3.33185152250965e-05,0.0001610962354021,8.71254257462938e-06,0.0001568659190661,0.0,0.0,0.0001139842810505,0.0,0.0,0.0,0.0,1.28899157257839e-05,0.0003983478575205,3.35634677726826e-05,0.0,0.0,0.0,0.0,0.0002335713491151,0.0,0.0,5.52560155454776e-05,3.15633234931781e-05,0.0,0.0,5.51153503884938e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002522101121531,0.0,0.0003800132093758,0.0,0.0,0.0,0.0,0.0,0.0001665995880996,0.0,0.0,0.0,0.0,0.0003352510611602,0.0,2.7670915167292e-05,1.9517881419552e-05,4.11054081279759e-05,1.18272541710955e-05,0.0,0.0021861206541617,2.65911575217277e-06,0.0,0.0002421210503852,0.0,6.95860451502966e-05,0.0,0.0,0.0,2.74160714926377e-06,0.000180914162528,0.0006593597588489,0.0,0.0,0.0,2.89441060099211e-06,0.0,0.0,0.0
Akkermansia muciniphila [h:1008],0.0079302225575799,4.62945075101105e-06,0.0,0.0007726636813198,0.0029894963643933,1.07675638240055e-05,0.0,0.0016060557413655,5.67400809115739e-05,0.0062791032857198,3.66485270045313e-06,0.0027447229152992,5.81012870376627e-05,1.07759648960714e-05,0.0022547992991225,0.0027692335095252,0.0092516304054465,0.0060643315204653,0.0006549372220306,0.04028320338974,0.0082767871000396,0.0,3.37443463680073e-05,0.0003251795486082,0.0,0.0,0.0006187902199925,0.0,0.0007168914642462,0.0007341009875775,0.030939904586482,0.0002309929782546,0.0001130535496339,0.0002764967404973,0.0213984238357891,0.0045692055520054,0.0111455230560291,0.0005620584277046,0.000440378876961,6.90585991837715e-06,0.0058809494516475,0.0002556673379774,2.07429665856524e-05,0.0,0.0006090441505189,0.0381587949802586,5.8226007402382e-05,2.85031700323017e-05,0.0028975564574055,0.0,0.000349372704996,0.0,5.94996901047074e-05,0.0,0.0,2.21681177446366e-05,0.0005822975684219,0.0010479654030433,0.0022818407230092,0.0007815239367117,0.040539260119027,1.88595401148251e-05,0.0305501866033887,0.0023592959071113,0.0002962893266959,1.05461915132311e-05,0.0064978259195626,0.0,1.3946779063891e-05,0.0013844256405899,0.0002043272638147,0.13219878848567,0.0072776753804892,0.0067261730460502,0.0037780399507453,5.29529370581655e-05,2.50376449555449e-05,1.15112938210286e-05,2.86510668226878e-05,0.0004589601301025,0.0035448441400479,0.0095078313638888,3.13414951450891e-05,0.0011335798899876,2.55021517365272e-05,0.126084832569718,3.81126980683881e-05,0.0673020834740213,0.0,0.0086693293745651,2.80320906708387e-05,0.0038649932853541,0.0019223952470602,0.0,6.58581097688913e-05,4.04391885154004e-05,0.0,2.92936087856403e-06,0.0026234485678975,0.0827439032827134,0.0001922736535213,0.0244862590192666,0.0086702345730464,0.0001332978566234,0.0010381712863913,6.25881212611825e-05,1.40175261673893e-05,2.80734290203273e-05,0.0002448474449242,1.24544824604305e-05,0.0,0.0031955223946845,0.0,3.52455186182283e-05,0.0125670622395947,0.0,0.0,0.0,6.47705631657545e-05,0.0023639457991323,0.0001125955298389,0.0001771830876816,0.0324373529973096,0.0067435833776756,0.0027472248295435,5.28053887986367e-05,0.0054664141561214,0.0023515726197127,0.0028256585428081,7.49447144762457e-06,6.67527147522932e-06,0.0009991524903325,9.99605421075384e-06,0.0052029802049725,0.0004650611089814,0.0,0.0,0.006998067871922,0.0,0.0027494054513446,5.88750056130741e-06
Alistipes shahii [h:1052],0.0011388038891495,0.000232079360936,0.0008488014278811,0.0025786688149291,0.0006667144925389,0.0029117836675062,0.0007503913766576,0.0003772639209158,0.0019936178770888,0.0005850544243847,0.0017434452809004,0.0001023415306957,0.0017067806602504,0.001679898709974,0.0002261536379925,0.000544535614514,4.00465983869826e-05,0.0001648156213813,0.001171745178885,0.0007661659582943,0.0010231155253834,0.0006228107603852,0.0052882282442365,0.0009886728615935,0.0004831972926226,0.0006409919142057,0.0038839792861006,0.0,0.0288048384014131,0.0015735128673666,0.0002211105697958,0.0083317778895339,0.0047728546425958,0.0004766852986061,0.002343398567799,0.0001658923719562,0.0010811572587727,0.00030671669007,0.0025755279550958,0.0025953278165663,0.0051031479038303,0.0020535095264996,0.0023971862801272,0.0002814926994941,0.0043006822854011,0.0013395480468067,0.0004994394133921,8.46037838698511e-05,5.45464167219967e-05,0.0024545613859364,0.0030272086725846,4.14863674716865e-05,0.0003322123003537,0.0068869361185434,0.0048742728295663,0.0346031009930473,0.0003506597890175,0.0015174703460298,0.0005547673055821,0.0014685191773395,0.0031606981920758,0.0073222943593807,0.0056438491902893,0.0023611380097843,0.0025178632036893,0.002373631354264,4.77802318038955e-05,0.001535744410017,0.0001894360196501,0.0004436622565121,0.0038781444255667,0.0001037755688026,0.0008092093136872,0.0027558600602952,0.0031163286900187,0.0008821240736463,0.0003035276339847,0.003685365156876,1.8016718175699e-05,3.01863538668937e-06,0.0041044135462193,0.0019258275867141,0.0018498102212514,0.001379234669142,0.0020725986728252,2.51286740385882e-06,0.0008997237441169,0.0022031827229794,0.0039490492055546,0.0023042499761654,0.0004254389573028,0.000114384961268,2.10501306538698e-05,0.0003321889219718,0.0011321819673469,0.0012005113649386,0.0007500021157851,0.0004292970854492,0.0010358773789326,3.06572840762666e-05,0.0020955066717995,0.0016642181663812,0.0113577017286948,0.0101821750807263,0.0009539222314166,0.0001056583635509,8.52008983535155e-05,1.79454654160907e-05,0.0024175360861066,0.0047001891859893,0.0058256253916232,0.0017854565343877,0.002794942381817,0.0026161337606364,0.0045213819711625,0.0034341958691541,0.0,0.0004831982725178,0.0005295684438872,0.0005727478146041,0.0015906527459843,0.0,0.002207716554974,0.0025122824898255,0.002685831478603,0.0021880504287778,0.0001687612212596,0.0001527638272722,0.0002077362021656,0.0002492104260998,0.0,0.0165145211374911,0.0010101589385029,0.0018221756774255,0.0022661166969656,0.0044563457863736,0.0044572497930246,0.007515485464177,0.0035272977073424,0.0017283941951517,0.0008150373445299
unnamed Alistipes sp. HGB5 [u:1053],4.32739538738093e-05,0.0002078680182634,2.31631252373483e-05,0.0017463915452655,0.0004664291495605,0.000151985402471,0.0001160598465553,0.0007553818658255,1.41708050109927e-05,0.0002619137674581,0.0001323347442476,8.37166176976508e-06,0.0002791140735607,1.32006654723876e-05,0.0003957939995779,0.0002051684935688,0.0002409053611786,7.17459731772379e-05,0.0006174374452425,0.0,0.0007642231549424,6.06550175241303e-05,0.010921014604184,6.19726142786718e-05,0.0005320463598465,1.91008185966194e-05,0.0003027069506193,0.0,0.0023553071540874,2.58922816119054e-05,0.0005051851528444,0.0016160856457158,0.0038060180796551,0.0222475577989146,0.0044151429484663,0.0122676258897067,3.99448420526807e-06,2.83127250342442e-06,0.0007572357787055,1.20928877513814e-05,0.0003376510085894,0.0001230006955588,0.001686953458911,0.0001678638355429,0.0001719320707623,0.000355624295437,0.0005087605536652,2.91303936807976e-05,9.82498461122173e-05,1.34368843407007e-05,0.0009063228304797,0.0148442200009564,0.0021072239295552,0.0003485625652027,0.0003173831962339,0.0090491094667394,1.75794007972117e-05,0.0017128763678576,7.0023400526174e-05,0.0006551157477621,5.81023102373462e-05,0.0013118491585478,0.0002018614767096,6.33445284058931e-06,0.000575460642976,0.0003737172689972,1.52650790648999e-05,7.86344383966058e-05,6.86056617933472e-06,1.35137660990722e-05,0.0005522764263658,0.0017184958787242,0.0006358037995188,8.47042795853964e-05,0.000233812442315,2.70901685056337e-05,3.87757251970372e-05,0.0001202686448534,0.002424799765114,0.0051588111121652,0.0028947078145188,0.0002300965759605,0.0009289714027702,0.0003777755708328,0.0135912103999255,0.0396679437427059,0.0008321176560872,0.0001459478491636,8.3673077141276e-05,0.0029898813627233,5.10747271589561e-05,0.0003629154831877,5.04182672299942e-05,0.0006485136447317,0.0032251586414835,7.92659463351279e-05,0.0146770672037956,0.0001116441884361,0.0007951740611973,0.0,0.0031270248699051,0.0001018962014152,0.0002579188255762,0.0003661999689513,0.0002476516139541,4.99324900561554e-05,0.0001387446084383,3.07755484921979e-05,0.001301454729,1.68234547506026e-05,0.0008406062407967,0.0023547099781027,0.0006991512778794,0.0016404164922669,3.63330363909461e-05,0.0063719391452643,0.0004439717259111,3.16994333231516e-05,5.49177910444188e-05,0.0001978698509268,4.50312578385868e-05,6.79540600250909e-06,0.008252390827679,0.0012024400993617,0.0015259342082961,0.0016610147191107,1.0100198706852e-05,3.64621851144038e-05,3.03212593953901e-05,0.0,0.0,0.0001836035320782,6.23775687313637e-05,0.0051761111490077,0.0027640706149354,0.0034683393546389,6.06091928940934e-05,6.39467148000013e-06,6.94159318166284e-05,8.48605726996753e-05,0.0009922306227998
Alistipes putredinis [h:1054],0.0112979343153251,2.68211600029466e-05,0.0009134622155775,0.0203145453900497,0.0107879306368849,0.0089811846124414,0.0034247923014361,0.0116933975406389,0.0143344755303834,0.0022191959932524,0.0098262759628207,4.60041991363248e-05,0.0037058473082543,7.90356904684588e-06,0.0065230997300641,0.0016202895763901,0.0019600586048046,0.0081234109966799,6.62729405087049e-05,0.001024133671188,0.0139354759016517,0.0037178891393198,0.0335816329557501,0.0019911105534208,9.91703674002883e-05,0.0,0.0286883939693216,0.0,0.0129062898148987,5.20906288120723e-05,0.0016725842508688,0.0407654107814686,0.0305925739329437,0.0010885407079669,0.0002386121766889,0.0101302699662524,0.0094975048635145,0.0013077551563834,0.0008725079906459,0.0068422261091871,0.0363164380723972,0.0005170239144584,6.4565137452178e-05,0.0212974314954003,0.0005497372887948,0.0174216258416945,0.003766388907337,1.30654130032935e-05,0.0368882796542694,0.017799177963721,0.0290758911556058,0.0209944929117914,0.0132280063873362,0.0201416515241525,0.010831735861853,0.0511307422683087,3.14844407949277e-06,0.0122251690358519,0.0092179110460348,0.0022070889134151,0.0002209770225887,0.0112642869444669,0.0060432756171451,3.27067528923519e-05,0.0004247526616885,0.017536392707057,0.0001701694440803,0.0063660663518073,2.43081571980018e-05,0.0018835105071946,0.0031324336919432,0.0002649740715561,0.0023423123218732,0.0001048585781711,0.0129708080131507,0.0119211305532716,0.0,0.0116600762870243,0.0004129617757565,0.0147545589281818,0.0075664556287308,0.0002902490946471,0.0097888592561769,0.0051687623379799,0.0162279145446521,0.0303587929040053,0.0146046886503318,0.001625789346255,0.0008958346943592,0.0359845258023178,0.000233925620208,0.0118417540997996,0.0113992779631159,0.0002078563541384,0.0062409298217264,0.008916936097376,0.0331719167083687,9.68846972732228e-06,0.0004669485290568,0.0154051684476934,0.0061574840646026,0.0093156318633396,0.0382647231785268,0.0198505833294966,8.38728439923265e-05,0.0001915303602473,0.0108219751836943,8.18408320003808e-05,0.0167672126823273,0.0063723918195854,0.0105354008406492,0.0055821077586671,0.0064702270305637,0.019133655236753,0.0231644772489647,0.0013321643930489,0.0007397516805247,0.0006537194613767,0.0018515119181327,0.0056224170892303,6.47034583013925e-05,1.40476478614555e-05,1.0796347422544e-05,0.008243223169309,0.0192188270695445,0.0018543892300471,0.0043131098710389,0.0048726335015169,0.0005212628077847,4.3519676302874e-05,2.26734554898269e-05,2.26257781032397e-05,0.004279870280455,0.009506313449642,0.0120147614600218,0.0193566870905555,0.0145422914077386,0.038771512940373,0.007228314435262,0.0016238786920251,0.0035378643300808
Porphyromonas asaccharolytica [h:1056],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44305033112944e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.288970725323e-05,0.0,0.0,0.0,0.0,0.0003658104990304,0.0,0.0044230361783963,0.0014724123955941,0.0,0.0,0.0,0.0,0.0,0.0,2.41013768280664e-06,0.0,0.0,0.0026473731961327,0.0,0.0,0.0,0.0,0.0,0.0,2.60377173917577e-06,0.0,0.0,1.93433046801978e-06,0.0,0.0,0.0,0.0,1.13294914447979e-05,4.13475635436641e-06,0.0,0.0,0.0,1.04618029186283e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000831203600664,0.0,0.0,0.0,0.0,0.0,1.16530468866857e-05,0.0,0.0,0.0,0.0,4.99276970730248e-05,0.0022409527632985,0.0,6.27674031209697e-05,2.87191733949316e-05,0.0,4.58661437985482e-05,0.0,0.0,0.0,7.09166477053279e-06,0.0,0.0,6.20682321896615e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.40553541764332e-06,0.000159100372681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.53832219746598e-05
Porphyromonas uenonis [h:1057],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65394253051082e-06,2.17048352922521e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39762846121411e-05,0.0,0.0,8.15695044824253e-05,7.25446613169548e-06,2.46312989467931e-05,6.65546326159918e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.20506884140332e-06,0.0,0.0,1.81226828044861e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.30188586958789e-06,0.0,0.0,1.93433046801978e-06,0.0,0.0,0.0,0.0,9.15933533706199e-06,0.0,0.0,0.0,3.14327426765211e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002333188871751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.60848567211308e-06,0.0,0.0,0.000664131762953,0.0,1.33631017740206e-05,3.39910867938533e-05,0.0,3.32679521012062e-06,0.0,0.0,0.0,0.0,0.0,0.0,9.39834430632099e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71415496626581e-06,0.0,0.0,2.92674842872853e-05,3.00396639386813e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97048858544919e-06,0.0,0.0,0.0,0.0,1.52505688856135e-06,0.0,0.0
Prevotella timonensis [h:1058],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91193141032478e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.03373104173283e-06,0.0,0.0,0.0,3.0639164279719e-05,3.25876863766755e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.78892833283383e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98535481479101e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94034577575576e-06,0.0,0.0,0.0,0.0,0.0,0.0,2.85977195558815e-06
Prevotella buccalis [h:1059],2.86641863199022e-06,0.0,1.95818213139598e-06,9.26253004984381e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63153681553603e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55562521497009e-06,1.94274661489832e-06,0.0,0.0,0.0,1.24806113364049e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000136159639602,0.0,0.0,0.0,8.44798122723789e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87614539747096e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.58275167631941e-05,1.57147265075875e-06,0.0,1.76246493129101e-05,0.0,0.0,2.55634603353069e-06,0.0,0.0,0.0,0.0,0.0,1.4821760722691e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99585383030444e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88128644367996e-06
